Cube Name and Link,Result,Poll Winner,Twitter Link,Twitter,Pronouns,Cube Name,URL
The Puzzler Cube,,FALSE,RarkMestrepo,RarkMestrepo,he/him,The Puzzler Cube,https://www.cubecobra.com/cube/overview/puzzler
The Simple Cube,,FALSE,CampbellKeldan,CampbellKeldan,he/him,The Simple Cube,https://cubecobra.com/cube/overview/thesimplecube
The Spikeless Cube,✅,TRUE,,,he/him,The Spikeless Cube,https://cubecobra.com/cube/overview/sd4
The Standard Cube - Peasant Edition,,FALSE,zacthecrafter,zacthecrafter,he/him,The Standard Cube - Peasant Edition,https://cubecobra.com/cube/overview/sndpst
The Tempo Cube,✅,TRUE,turnergregs,turnergregs,he/him,The Tempo Cube,https://cubecobra.com/cube/overview/tempocube
The Tiny Little Baby Binary Cube For Tiny Babies,,FALSE,,,he/him,The Tiny Little Baby Binary Cube For Tiny Babies,https://cubecobra.com/cube/overview/4mumo
The Uncommonly Good Cube,,FALSE,RCabbage3,RCabbage3,he/him,The Uncommonly Good Cube,https://cubecobra.com/cube/overview/1roh7
The Zendikar Cube,,FALSE,GoblinGathering,GoblinGathering,he/him,The Zendikar Cube,https://cubecobra.com/cube/overview/zendikarcube
TheOinkinator's Cube,,FALSE,CampbellKeldan,CampbellKeldan,he/him,TheOinkinator's Cube,https://cubecobra.com/cube/overview/oink
Tolsimir Cube,✅,TRUE,,,he/him,Tolsimir Cube,https://cubecobra.com/cube/overview/Tolsimir
Triangles are the Best Shape,,FALSE,,,he/him,Triangles are the Best Shape,https://cubecobra.com/cube/overview/Muddled
Uber Bear's Artifact Cube,✅,TRUE,UberCubeMTGPod,UberCubeMTGPod,he/him,Uber Bear's Artifact Cube,https://cubecobra.com/cube/overview/5ec82086510bc4414742ec52
UMA+,,FALSE,improphilo,improphilo,he/him,UMA+,https://cubecobra.com/cube/overview/umaplus
Unplayables Cube,,FALSE,MachineSchoolin,MachineSchoolin,they/them,Unplayables Cube,https://cubecobra.com/cube/overview/unplayables
Unreasonable Cube,,FALSE,GwenDekker,HGSCube,he/him,Unreasonable Cube,https://cubecobra.com/cube/overview/unreasonable
Vehicle Cube: Eiganjo Drift,✅,TRUE,GoblinGathering,GoblinGathering,he/him,Vehicle Cube: Eiganjo Drift,https://cubecobra.com/cube/overview/eiganjodrift
World War of the Spark,,FALSE,GoblinGathering,GoblinGathering,he/him,World War of the Spark,https://cubecobra.com/cube/overview/wwrav
Zettyz Peasant Cube,,FALSE,,,he/him,Zettyz Peasant Cube,https://cubecobra.com/cube/overview/6130270ddb7bdc101a194c9e
